Film,Ceremony,Award,Year
Nosferatu,London Critics Circle Film Awards,Nominee: Film of the Year,2025
Nosferatu,London Critics Circle Film Awards,Nominee: British/Irish Performer of the Year,2025
Nosferatu,National Society of Film Critics Awards,3rd place: Best Cinematography,2025
Nosferatu,Chicago Film Critics Association Awards,Nominee: Best Original Score,2024
Nosferatu,Chicago Film Critics Association Awards,Nominee: Best Adapted Screenplay,2024
Nosferatu,Chicago Film Critics Association Awards,Winner: Best Art Direction/Production Design,2024
Nosferatu,Chicago Film Critics Association Awards,Nominee: Best Cinematography,2024
Nosferatu,Chicago Film Critics Association Awards,Nominee: Best Costume Design,2024
Nosferatu,Austin Film Critics Association,Winner: [8] AFCA Top 10 Films,2025
Nosferatu,Austin Film Critics Association,Nominee: Best Picture,2025
Nosferatu,Austin Film Critics Association,Nominee: Best Cinematography,2025
Nosferatu,Austin Film Critics Association,Nominee: Best Original Score,2025
Nosferatu,Seattle Film Critics Awards,Nominee: Best Villain,2025
Nosferatu,Seattle Film Critics Awards,Nominee: Best Costume Design,2025
Nosferatu,Seattle Film Critics Awards,Nominee: Best Cinematography,2025
Nosferatu,Critics Choice Awards,Winner: Best Cinematography,2025
Nosferatu,Critics Choice Awards,Nominee: Best Costume Design,2025
Nosferatu,Critics Choice Awards,Nominee: Best Production Design,2025
Nosferatu,Critics Choice Awards,Nominee: Best Hair and Make-Up,2025
Gladiator II,Academy Awards,Nominee: Best Costume Design,2025
Gladiator II,National Board of Review,Winner: Top Films,2024
Gladiator II,BAFTA Awards,Nominee: Outstanding British Film of the Year,2025
Gladiator II,BAFTA Awards,Nominee: Best Achievement in Special Visual Effects,2025
Gladiator II,BAFTA Awards,Nominee: Best Sound,2025
Gladiator II,Golden Globes (USA),Nominee: Cinematic and Box Office Achievement,2025
Gladiator II,Golden Globes (USA),Nominee: Best Performance by an Actor in a Supporting Role in any Motion Picture,2025
Gladiator II,London Critics Circle Film Awards,Nominee: Supporting Actor of the Year,2025
Gladiator II,Toronto Film Critics Association Awards,Nominee: Outstanding Supporting Performance,2024
Gladiator II,Tokyo International Film Festival,Official Selection,2024
Gladiator II,Seattle Film Critics Awards,Nominee: Best Villain,2025
Gladiator II,Critics Choice Awards,Nominee: Best Supporting Actor,2025
Gladiator II,Critics Choice Awards,Nominee: Best Costume Design,2025
Gladiator II,Critics Choice Awards,Nominee: Best Production Design,2025
Gladiator II,Critics Choice Awards,Nominee: Best Visual Effects,2025
Gladiator II,Black Reel Awards,Nominee: Outstanding Supporting Performance,2025
Black Box Diaries,Academy Awards,Nominee: Best Documentary Feature,2025
Black Box Diaries,Sundance Film Festival,Official Selection,2024
Black Box Diaries,SXSW Film Festival,Official Selection,2024
Black Box Diaries,Indiewire Critics' Poll,Nominee: Best Documentary,2024
Black Box Diaries,CPH:DOX,Winner: Human:Rights Award,2024
Black Box Diaries,BFI London Film Festival,Official Selection,2024
Black Box Diaries,National Board of Review,Winner: Top 5 Documentaries,2024
Black Box Diaries,San Francisco International Film Festival,Honorable Mention: Documentary,2024
Black Box Diaries,BAFTA Awards,Nominee: Best Documentary,2025
Black Box Diaries,Stockholm International Film Festival,Official Selection,2024
Black Box Diaries,Seattle International Film Festival,Winner: Lena Sharpe Award For Persistence of Vision,2024
Black Box Diaries,Sydney Film Festival,Official Selection,2024
Black Box Diaries,Melbourne International Film Festival,Official Selection,2024
Black Box Diaries,Busan International Film Festival,Official Selection,2024
Black Box Diaries,International Documentary Association,Nominee: Best Feature Documentary,2024
Black Box Diaries,International Documentary Association,Nominee: Best Director,2024
Black Box Diaries,International Documentary Association,Nominee: Best Editing,2024
Black Box Diaries,International Documentary Association,Winner: Emerging Documentary Filmmaker Award,2024
Black Box Diaries,Hawaii International Film Festival,Official Selection,2024
Black Box Diaries,Munich Film Festival,Official Selection,2024
Black Box Diaries,Zurich Film Festival,Winner: Audience Award,2024
Black Box Diaries,Zurich Film Festival,Winner: Best Documentary,2024
Black Box Diaries,Miami International Film Festival,Official Selection,2024
Black Box Diaries,Hong Kong International Film Festival,Official Selection,2024
Black Box Diaries,Sarajevo Film Festival,Winner: Audience Award Feature Film,2024
Black Box Diaries,International Documentary Film Festival Amsterdam,Official Selection,2024
Black Box Diaries,Bergen International Film Festival,Official Selection,2024
Black Box Diaries,Hot Docs Canadian International Documentary Festival,Official Selection,2024
Black Box Diaries,Women Film Critics Circle Awards,Nominee: Best Documentary by or about Women,2024
Black Box Diaries,Women Film Critics Circle Awards,Nominee: Adrienne Shelly Award,2024
Black Box Diaries,Calgary International Film Festival,Winner: International Documentary Feature Award,2024
Black Box Diaries,Doc Fortnight,Official Selection,2024
Black Box Diaries,DOXA Documentary Film Festival,Official Selection,2024
Black Box Diaries,"Pingyao Crouching Tiger, Hidden Dragon International Film Festival",Official Selection,2024
Black Box Diaries,It's All True - International Documentary Festival,Official Selection,2024
Black Box Diaries,DOC NYC,Official Selection,2024
Black Box Diaries,Indie Memphis,Official Selection,2024
Black Box Diaries,New Zealand International Film Festival,Official Selection,2024
Black Box Diaries,Adelaide Film Festival,Official Selection,2024
Black Box Diaries,Jogja-Netpac Asian Film Festival,Official Selection: Panorama,2024
No Other Land,Berlin International Film Festival,Winner: Panorama Audience Award (Documentary),2024
No Other Land,Berlin International Film Festival,Winner: Berlinale Documentary Award,2024
No Other Land,Academy Awards,Nominee: Best Documentary Feature,2025
No Other Land,Independent Spirit Awards,Nominee: Best Documentary,2025
No Other Land,Toronto International Film Festival,Official Selection,2024
No Other Land,Telluride Film Festival,Official Selection,2024
No Other Land,Indiewire Critics' Poll,Winner: Best Documentary,2024
No Other Land,Indiewire Critics' Poll,Nominee: Best International Film,2024
No Other Land,São Paulo International Film Festival,Official Selection,2024
No Other Land,CPH:DOX,Winner: Audience:Award,2024
No Other Land,National Board of Review,Winner: NBR Freedom of Expression Award,2024
No Other Land,BAFTA Awards,Nominee: Best Documentary,2025
No Other Land,New York Film Festival,Official Selection,2024
No Other Land,New York Film Critics Circle Awards,Winner: Best Non-Fiction Film,2024
No Other Land,Los Angeles Film Critics Association Awards,Winner: Best Documentary/Non-Fiction Film,2024
No Other Land,European Film Awards,Winner: European Documentary,2024
No Other Land,AFI Fest,Official Selection,2024
No Other Land,Karlovy Vary International Film Festival,Official Selection,2024
No Other Land,Istanbul Film Festival,Official Selection,2024
No Other Land,Vancouver International Film Festival,Winner: Audience Award (Showcase),2024
No Other Land,Chicago International Film Festival,Official Selection,2024
No Other Land,San Francisco Bay Area Film Critics Circle,Nominee: Best Documentary Feature,2025
No Other Land,London Critics Circle Film Awards,Winner: Documentary of the Year,2025
No Other Land,IndieLisboa International Independent Film Festival,Official Selection,2024
No Other Land,Göteborg Film Festival,Official Selection,2025
No Other Land,Toronto Film Critics Association Awards,Special Mention: TFCA Award,2024
No Other Land,National Society of Film Critics Awards,Winner: Best Nonfiction Film,2025
No Other Land,National Society of Film Critics Awards,Winner: Special Citation for a Film Awaiting U.S. Distribution,2025
No Other Land,Chicago Film Critics Association Awards,Winner: Best Documentary,2024
No Other Land,British Independent Film Awards,Nominee: Best International Independent Film,2024
No Other Land,Boston Society of Film Critics Awards,Winner: Best Documentary,2024
No Other Land,Sheffield International Documentary Festival,Winner: Tim Hetherington Award,2024
No Other Land,Ghent Film Festival,Official Selection,2024
No Other Land,New York Film Critics,Winner: Best Non-Fiction Film,2024
No Other Land,Sydney Film Festival,Official Selection,2024
No Other Land,Austin Film Critics Association,Nominee: Best Documentary,2025
No Other Land,Asia Pacific Screen Awards,Winner: Best Documentary,2024
No Other Land,Melbourne International Film Festival,Official Selection,2024
No Other Land,Busan International Film Festival,Winner: Busan Cinephile Award,2024
No Other Land,International Documentary Association,Winner: Best Feature Documentary,2024
No Other Land,International Documentary Association,Winner: Best Director,2024
No Other Land,International Documentary Association,Winner: Courage Under Fire Award,2024
No Other Land,Cinéma du Réel,Official Selection,2024
No Other Land,Hawaii International Film Festival,Official Selection,2024
No Other Land,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
No Other Land,Philadelphia Film Festival,Official Selection,2024
No Other Land,Athens International Film Festival,Winner: Golden Athena Best Documentary Award,2024
No Other Land,Seattle Film Critics Awards,Winner: Best Documentary Feature,2025
No Other Land,Sarajevo Film Festival,Winner: Audience Award Documentary Film,2024
No Other Land,International Documentary Film Festival Amsterdam,Winner: IDFA NPO Doc Audience Award,2024
No Other Land,Bergen International Film Festival,Official Selection,2024
No Other Land,Viennale,Official Selection,2024
No Other Land,Gotham Awards,Winner: Best Documentary Feature,2024
No Other Land,Palm Springs International Film Festival,Winner: Best Documentary Award,2025
No Other Land,Reykjavik International Film Festival,Official Selection,2024
No Other Land,Visions du Réel,Winner: Audience Award in the Grand Angle Competition,2024
No Other Land,Montreal International Documentary Festival,Official Selection,2024
No Other Land,Mumbai Film Festival,Official Selection,2024
No Other Land,Guadalajara International Film Festival,Official Selection,2024
No Other Land,Singapore International Film Festival,Official Selection,2024
No Other Land,Festival international du film indépendant de Bordeaux,Official Selection,2024
No Other Land,DOC NYC,Official Selection,2024
No Other Land,Galway Film Fleadh,Official Selection,2024
No Other Land,New Zealand International Film Festival,Official Selection,2024
No Other Land,Camden International Film Festival,Official Selection,2024
No Other Land,Dokufest International Documentary and Short Film Festival,Official Selection,2024
No Other Land,ZagrebDox International Documentary Film Festival,Official Selection,2024
No Other Land,Leeds International Film Festival,Official Selection,2024
No Other Land,Adelaide Film Festival,Official Selection,2024
No Other Land,Jogja-Netpac Asian Film Festival,Official Selection: Panorama,2024
Porcelain War,Academy Awards,Nominee: Best Documentary Feature,2025
Porcelain War,Sundance Film Festival,Winner: U.S. Grand Jury Prize (Documentary),2024
Porcelain War,São Paulo International Film Festival,Official Selection,2024
Porcelain War,San Francisco International Film Festival,Official Selection,2024
Porcelain War,Directors Guild of America,Winner: Outstanding Directorial Achievement in Documentary,2025
Porcelain War,Karlovy Vary International Film Festival,Official Selection,2024
Porcelain War,Stockholm International Film Festival,Official Selection,2024
Porcelain War,Seattle International Film Festival,Winner: Golden Space Needle Award for Best Documentary,2024
Porcelain War,Sydney Film Festival,Official Selection,2024
Porcelain War,Tallinn Black Nights Film Festival,Official Selection,2024
Porcelain War,Sarasota Film Festival,Special Mention: Documentary Feature,2024
Porcelain War,Athens International Film Festival,Official Selection,2024
Porcelain War,Bergen International Film Festival,Official Selection,2024
Porcelain War,Hot Docs Canadian International Documentary Festival,Official Selection,2024
Porcelain War,Calgary International Film Festival,Official Selection,2024
Porcelain War,Cleveland International Film Festival,Official Selection,2024
Porcelain War,DOC NYC,Official Selection,2024
Porcelain War,Big Sky Documentary Film Festival,Official Selection,2024
Porcelain War,Margaret Mead Film Festival,Official Selection,2024
Porcelain War,Tirana International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Academy Awards,Nominee: Best Documentary Feature,2025
Soundtrack to a Coup d'Etat,Sundance Film Festival,Winner: World Cinema Documentary Special Jury Award for Cinematic Innovation,2024
Soundtrack to a Coup d'Etat,Independent Spirit Awards,Nominee: Best Documentary,2025
Soundtrack to a Coup d'Etat,San Sebastián International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Indiewire Critics' Poll,3rd place: Best Documentary,2024
Soundtrack to a Coup d'Etat,CPH:DOX,Official Selection,2024
Soundtrack to a Coup d'Etat,BFI London Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,San Francisco International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Directors Guild of America,Nominee: Outstanding Directorial Achievement in Documentary,2025
Soundtrack to a Coup d'Etat,Buenos Aires International Festival of Independent Cinema,Official Selection,2024
Soundtrack to a Coup d'Etat,European Film Awards,Nominee: European Documentary,2024
Soundtrack to a Coup d'Etat,AFI Fest,Official Selection,2024
Soundtrack to a Coup d'Etat,Vancouver International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,IndieLisboa International Independent Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Göteborg Film Festival,Official Selection,2025
Soundtrack to a Coup d'Etat,Toronto Film Critics Association Awards,Nominee: Allan King Documentary Award,2024
Soundtrack to a Coup d'Etat,National Society of Film Critics Awards,3rd place: Best Nonfiction Film,2025
Soundtrack to a Coup d'Etat,Chicago Film Critics Association Awards,Nominee: Best Documentary,2024
Soundtrack to a Coup d'Etat,Seattle International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Sydney Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Melbourne International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Busan International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,International Documentary Association,Nominee: Best Feature Documentary,2024
Soundtrack to a Coup d'Etat,International Documentary Association,Nominee: Best Director,2024
Soundtrack to a Coup d'Etat,International Documentary Association,Winner: Best Editing,2024
Soundtrack to a Coup d'Etat,International Documentary Association,Winner: Best Writing,2024
Soundtrack to a Coup d'Etat,Cinéma du Réel,Official Selection,2024
Soundtrack to a Coup d'Etat,Sarasota Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Hamburg Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
Soundtrack to a Coup d'Etat,Ji.hlava International Documentary Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Zurich Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,International Documentary Film Festival Amsterdam,Official Selection,2024
Soundtrack to a Coup d'Etat,Bergen International Film Festival,Winner: Documentaire Extraordinaire – Best International Documentary,2024
Soundtrack to a Coup d'Etat,Viennale,Official Selection,2024
Soundtrack to a Coup d'Etat,Rio de Janeiro International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Gotham Awards,Nominee: Best Documentary Feature,2024
Soundtrack to a Coup d'Etat,Reykjavik International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Doc Fortnight,Official Selection,2024
Soundtrack to a Coup d'Etat,Thessaloniki Documentary Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Cleveland International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Porto/Post/Doc,Official Selection,2024
Soundtrack to a Coup d'Etat,DOC NYC,Official Selection,2024
Soundtrack to a Coup d'Etat,Sofia International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,New Zealand International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Montclair Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Camden International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Dokufest International Documentary and Short Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Hamptons International Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,Adelaide Film Festival,Official Selection,2024
Soundtrack to a Coup d'Etat,El Gouna Film Festival,Official Selection,2024
Sugarcane,Academy Awards,Nominee: Best Documentary Feature,2025
Sugarcane,Sundance Film Festival,Winner: Directing Award (U.S. Documentary),2024
Sugarcane,Independent Spirit Awards,Nominee: Truer Than Fiction Award,2025
Sugarcane,Indiewire Critics' Poll,Nominee: Best Documentary,2024
Sugarcane,São Paulo International Film Festival,Official Selection,2024
Sugarcane,National Board of Review,Winner: Best Documentary,2024
Sugarcane,San Francisco International Film Festival,Official Selection,2024
Sugarcane,Directors Guild of America,Nominee: Outstanding Directorial Achievement in Documentary,2025
Sugarcane,San Francisco Bay Area Film Critics Circle,Winner: Best Documentary Feature,2025
Sugarcane,Chicago Film Critics Association Awards,Nominee: Best Documentary,2024
Sugarcane,Seattle International Film Festival,Winner: Official Competition Special Jury Prize,2024
Sugarcane,Sheffield International Documentary Festival,Official Selection,2024
Sugarcane,Sydney Film Festival,Official Selection,2024
Sugarcane,International Documentary Association,Nominee: Best Director,2024
Sugarcane,International Documentary Association,Nominee: Best Cinematography,2024
Sugarcane,International Documentary Association,Nominee: Best Editing,2024
Sugarcane,International Documentary Association,Nominee: Best Original Music Score,2024
Sugarcane,International Documentary Association,Nominee: Best Feature Documentary,2024
Sugarcane,Sarasota Film Festival,Winner: Documentary Feature,2024
Sugarcane,Hamburg Film Festival,Winner: Friedrich Ebert Foundation's Political Film Prize,2024
Sugarcane,Seattle Film Critics Awards,Nominee: Best Documentary Feature,2025
Sugarcane,International Documentary Film Festival Amsterdam,Official Selection,2024
Sugarcane,Bergen International Film Festival,Official Selection,2024
Sugarcane,Gotham Awards,Nominee: Best Documentary Feature,2024
Sugarcane,Boston Independent Film Festival,Winner: Special Jury Prize Documentary Feature,2024
Sugarcane,DOXA Documentary Film Festival,Official Selection,2024
Sugarcane,Maryland Film Festival,Official Selection,2024
Sugarcane,Cleveland International Film Festival,Official Selection,2024
Sugarcane,DOC NYC,Official Selection,2024
Sugarcane,Rome Film Festival,Official Selection,2024
Sugarcane,Full Frame Documentary Film Festival,Official Selection,2024
Sugarcane,Dokufest International Documentary and Short Film Festival,Official Selection,2024
Sugarcane,Margaret Mead Film Festival,Winner: Jury Award,2024
Death by Numbers,Academy Awards,Nominee: Best Documentary Short,2025
Death by Numbers,DOC NYC,Official Selection,2024
Death by Numbers,Montclair Film Festival,Official Selection,2024
Death by Numbers,Hamptons International Film Festival,Official Selection,2024
"I Am Ready, Warden",Academy Awards,Nominee: Best Documentary Short,2025
"I Am Ready, Warden",Austin Film Festival,Official Selection,2024
"I Am Ready, Warden",DOC NYC,Official Selection,2024
"I Am Ready, Warden",Hot Springs Documentary Film Festival,Official Selection,2024
"I Am Ready, Warden",Big Sky Documentary Film Festival,Official Selection,2024
Incident,Academy Awards,Nominee: Best Documentary Short,2025
Incident,Telluride Film Festival,Official Selection,2023
Incident,IndieLisboa International Independent Film Festival,Official Selection,2023
Incident,Jeonju International Film Festival,Official Selection,2024
Incident,Sheffield International Documentary Festival,Official Selection,2023
Incident,International Documentary Association,Winner: Best Short Documentary,2023
Incident,Valdivia International Film Festival,Official Selection,2023
Incident,International Documentary Film Festival Amsterdam,Official Selection,2023
Incident,Visions du Réel,Official Selection,2023
Incident,Curtacinema - Rio de Janeiro International Short Film Festival,Official Selection,2024
Incident,DocumentaMadrid,Official Selection,2023
Incident,Clermont-Ferrand International Short Film Festival,Winner: Best Documentary Film Award,2024
Incident,DOC NYC,Official Selection,2023
Incident,DOC NYC,Official Selection,2024
Incident,Camden International Film Festival,Official Selection,2023
Incident,Dokufest International Documentary and Short Film Festival,Official Selection,2024
Incident,Big Sky Documentary Film Festival,Official Selection,2024
Instruments of a Beating Heart,Academy Awards,Nominee: Best Documentary Short,2025
Instruments of a Beating Heart,International Documentary Association,Winner: Best Short Documentary,2024
Instruments of a Beating Heart,DOC NYC,Official Selection,2024
The Only Girl in the Orchestra,Academy Awards,Nominee: Best Documentary Short,2025
The Only Girl in the Orchestra,DOC NYC,Official Selection,2024
The Only Girl in the Orchestra,DOC NYC,Official Selection,2023
The Only Girl in the Orchestra,RiverRun International Film Festival,Official Selection,2024
The Girl with the Needle,Cannes Film Festival,Official Selection: In Competition,2024
The Girl with the Needle,Academy Awards,Nominee: Best International Feature Film,2025
The Girl with the Needle,Toronto International Film Festival,Official Selection,2024
The Girl with the Needle,Indiewire Critics' Poll,Nominee: Best Cinematography,2024
The Girl with the Needle,São Paulo International Film Festival,Official Selection,2024
The Girl with the Needle,National Board of Review,Winner: Top 5 International Films,2024
The Girl with the Needle,Golden Globes (USA),Nominee: Best Motion Picture – Non-English Language,2025
The Girl with the Needle,European Film Awards,Nominee: European Screenwriter,2024
The Girl with the Needle,European Film Awards,Nominee: European Actress,2024
The Girl with the Needle,European Film Awards,Nominee: European Actress,2024
The Girl with the Needle,European Film Awards,Winner: European Production Design,2024
The Girl with the Needle,European Film Awards,Winner: European Original Score,2024
The Girl with the Needle,Karlovy Vary International Film Festival,Official Selection,2024
The Girl with the Needle,Vancouver International Film Festival,Official Selection,2024
The Girl with the Needle,Chicago International Film Festival,Official Selection,2024
The Girl with the Needle,Festival du Nouveau Cinéma,Official Selection,2024
The Girl with the Needle,Göteborg Film Festival,Official Selection,2025
The Girl with the Needle,Antalya Golden Orange Film Festival,Winner: Best Actress in the International Competition [En İyi Kadın Oyuncu - Uluslararası Yarışma],2024
The Girl with the Needle,Sydney Film Festival,Official Selection,2024
The Girl with the Needle,Melbourne International Film Festival,Official Selection,2024
The Girl with the Needle,Busan International Film Festival,Official Selection,2024
The Girl with the Needle,Hawaii International Film Festival,Official Selection,2024
The Girl with the Needle,Thessaloniki Film Festival,Official Selection,2024
The Girl with the Needle,Hamburg Film Festival,Official Selection,2024
The Girl with the Needle,Seville European Film Festival,Official Selection,2024
The Girl with the Needle,Philadelphia Film Festival,Official Selection,2024
The Girl with the Needle,Bangkok International Film Festival,Official Selection,2024
The Girl with the Needle,Bergen International Film Festival,Official Selection,2024
The Girl with the Needle,Rio de Janeiro International Film Festival,Official Selection,2024
The Girl with the Needle,Palm Springs International Film Festival,Official Selection,2025
The Girl with the Needle,Norwegian International Film Festival,Official Selection,2024
The Girl with the Needle,Women Film Critics Circle Awards,Nominee: Best Woman Storyteller,2024
The Girl with the Needle,Women Film Critics Circle Awards,Nominee: Best Foreign Film by or About Women,2024
The Girl with the Needle,Calgary International Film Festival,Official Selection,2024
The Girl with the Needle,Geneva Film Festival,Official Selection,2024
The Girl with the Needle,"Pingyao Crouching Tiger, Hidden Dragon International Film Festival",Official Selection,2024
The Girl with the Needle,Mumbai Film Festival,Official Selection,2024
The Girl with the Needle,International Film Festival of Kerala,Official Selection,2024
The Girl with the Needle,New Horizons International Film Festival,Official Selection,2024
The Girl with the Needle,Polish Film Festival,Official Selection,2024
The Girl with the Needle,Riga International Film Festival,Official Selection,2024
The Girl with the Needle,Lübeck Nordic Film Days,Official Selection,2024
The Girl with the Needle,Montclair Film Festival,Official Selection,2024
The Girl with the Needle,Beyond Fest,Official Selection,2024
The Girl with the Needle,Cinefest Sudbury International Film Festival,Official Selection,2024
The Girl with the Needle,Hamptons International Film Festival,Official Selection,2024
The Girl with the Needle,Leeds International Film Festival,Official Selection,2024
The Girl with the Needle,Adelaide Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Cannes Film Festival,Winner: Special Jury Prize,2024
The Seed of the Sacred Fig,Academy Awards,Nominee: Best International Feature Film,2025
The Seed of the Sacred Fig,Locarno International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Toronto International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,International Film Festival Rotterdam,Official Selection,2025
The Seed of the Sacred Fig,San Sebastián International Film Festival,Winner: Audience Award for Best European Film,2024
The Seed of the Sacred Fig,Telluride Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Indiewire Critics' Poll,3rd place: Best International Film,2024
The Seed of the Sacred Fig,BFI London Film Festival,Official Selection,2024
The Seed of the Sacred Fig,National Board of Review,Winner: Best International Film,2024
The Seed of the Sacred Fig,Mar del Plata International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,BAFTA Awards,Nominee: Best Film Not in the English Language,2025
The Seed of the Sacred Fig,New York Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Golden Globes (USA),Nominee: Best Motion Picture – Non-English Language,2025
The Seed of the Sacred Fig,Los Angeles Film Critics Association Awards,Winner: Best Director,2024
The Seed of the Sacred Fig,Los Angeles Film Critics Association Awards,2nd place: Best Film Not in the English Language,2024
The Seed of the Sacred Fig,European Film Awards,Nominee: European Film,2024
The Seed of the Sacred Fig,European Film Awards,Nominee: European Director,2024
The Seed of the Sacred Fig,European Film Awards,Nominee: European Screenwriter,2024
The Seed of the Sacred Fig,AFI Fest,Official Selection,2024
The Seed of the Sacred Fig,Vancouver International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Chicago International Film Festival,Winner: Silver Hugo for Best Screenplay,2024
The Seed of the Sacred Fig,San Francisco Bay Area Film Critics Circle,Winner: Best International Feature Film,2025
The Seed of the Sacred Fig,Festival du Nouveau Cinéma,Official Selection,2024
The Seed of the Sacred Fig,Göteborg Film Festival,Official Selection,2025
The Seed of the Sacred Fig,National Society of Film Critics Awards,3rd place: Best Film Not in the English Language,2025
The Seed of the Sacred Fig,Chicago Film Critics Association Awards,Nominee: Best Foreign Language Film,2024
The Seed of the Sacred Fig,British Independent Film Awards,Nominee: Best International Independent Film,2024
The Seed of the Sacred Fig,Mill Valley Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Sydney Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Austin Film Critics Association,Winner: Best International Film,2025
The Seed of the Sacred Fig,Asia Pacific Screen Awards,Nominee: Best Performance,2024
The Seed of the Sacred Fig,Melbourne International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Busan International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Valladolid International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Hawaii International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Hamburg Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Helsinki International Film Festival - Love & Anarchy,Official Selection,2024
The Seed of the Sacred Fig,Philadelphia Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Bangkok International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Lumiere Awards,Winner: Best International Co-Production,2025
The Seed of the Sacred Fig,Athens International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Seattle Film Critics Awards,Nominee: Best International Film,2025
The Seed of the Sacred Fig,Bergen International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Viennale,Official Selection,2024
The Seed of the Sacred Fig,Rio de Janeiro International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Tromsø International Film Festival,Winner: Norwegian Peace Film Award,2025
The Seed of the Sacred Fig,Palm Springs International Film Festival,Official Selection,2025
The Seed of the Sacred Fig,Calgary International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Critics Choice Awards,Nominee: Best Foreign Language Film,2025
The Seed of the Sacred Fig,Marrakesh International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,International Film Festival of Kerala,Official Selection,2024
The Seed of the Sacred Fig,Durban International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Lisbon & Estoril Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Austin Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Haifa International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Rome Film Festival,Official Selection,2024
The Seed of the Sacred Fig,New Zealand International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Montclair Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Leeds International Film Festival,Official Selection,2024
The Seed of the Sacred Fig,Adelaide Film Festival,Official Selection,2024
The Seed of the Sacred Fig,El Gouna Film Festival,Official Selection,2024
A Different Man,Berlin International Film Festival,Winner: Silver Bear for Best Leading Performance,2024
A Different Man,Academy Awards,Nominee: Best Makeup and Hairstyling,2025
A Different Man,Sundance Film Festival,Official Selection,2024
A Different Man,Independent Spirit Awards,Nominee: Best Screenplay,2025
A Different Man,Independent Spirit Awards,Nominee: Best Supporting Performance,2025
A Different Man,São Paulo International Film Festival,Official Selection,2024
A Different Man,National Board of Review,Winner: Top 10 Independent Films,2024
A Different Man,Mar del Plata International Film Festival,Official Selection: Panorama,2024
A Different Man,Golden Globes (USA),Winner: Best Performance by a Male Actor in a Motion Picture – Musical or Comedy,2025
A Different Man,Los Angeles Film Critics Association Awards,3rd place: Best Supporting Performance,2024
A Different Man,Karlovy Vary International Film Festival,Official Selection,2024
A Different Man,Vancouver International Film Festival,Official Selection,2024
A Different Man,Golden Horse Film Festival,Official Selection,2024
A Different Man,National Society of Film Critics Awards,3rd place: Best Supporting Actor,2025
A Different Man,Chicago Film Critics Association Awards,Nominee: Most Promising Performer,2024
A Different Man,Ghent Film Festival,Official Selection,2024
